fecha,value
2023-04-05 14:07:39,4565.7354
2023-04-05 14:07:42,4565.7394
2023-04-05 14:08:33,4565.7412
2023-04-05 14:08:34,4565.7426
2023-04-05 14:10:04,4565.7465
2023-04-05 14:10:07,4565.7493
2023-04-05 14:10:40,4565.7534
2023-04-05 14:10:41,4565.8371
2023-04-05 14:10:42,4565.8494
2023-04-05 14:10:44,4565.8535
2023-04-05 14:10:53,4565.8576
2023-04-05 14:10:56,4565.8657
2023-04-05 14:10:58,4565.8819
2023-04-05 14:10:59,4565.8859
2023-04-05 14:11:02,4565.8899
2023-04-05 14:11:03,4565.8939
2023-04-05 14:11:07,4565.8979
2023-04-05 14:11:08,4565.9018
2023-04-05 14:11:10,4565.9097
2023-04-05 14:11:14,4565.9137
2023-04-05 14:11:15,4565.9176
2023-04-05 14:11:16,4565.926
2023-04-05 14:11:56,4565.9306
2023-04-05 14:11:57,4565.9398
2023-04-05 14:11:58,4565.9447
2023-04-05 14:12:02,4565.9495
2023-04-05 14:12:04,4566.1446
2023-04-05 14:12:05,4566.1562
2023-04-05 14:12:06,4566.1688
2023-04-05 14:13:03,4566.1939
2023-04-05 14:13:14,4566.2743
2023-04-05 14:13:31,4566.2802
2023-04-05 14:13:35,4566.2863
2023-04-05 14:13:41,4566.358
2023-04-05 14:13:42,4566.3698
2023-04-05 14:13:43,4566.3815
2023-04-05 14:13:44,4566.3873
2023-04-05 14:13:45,4566.5219
2023-04-05 14:13:51,4566.5292
2023-04-05 14:13:55,4566.537
2023-04-05 14:13:56,4566.5448
2023-04-05 14:14:06,4566.553
2023-04-05 14:14:09,4566.5652
2023-04-05 14:14:24,4566.6722
2023-04-05 14:15:27,4566.6808
2023-04-05 14:15:59,4566.6877
2023-04-05 14:16:16,4566.6935
2023-04-05 14:16:22,4566.6993
2023-04-05 14:16:54,4566.7051
2023-04-05 14:18:03,4566.7108
2023-04-05 14:18:12,4566.7167
2023-04-05 14:18:13,4566.7234
2023-04-05 14:18:18,4566.73
2023-04-05 14:18:52,4566.8092
2023-04-05 14:19:27,4566.8126
2023-04-05 14:19:54,4566.816
2023-04-05 14:20:09,4566.8216
2023-04-05 14:20:10,4566.8276
2023-04-05 14:20:11,4566.8405
2023-04-05 14:20:12,4566.8534
2023-04-05 14:20:13,4566.8598
2023-04-05 14:20:14,4566.8661
2023-04-05 14:20:15,4566.8852
2023-04-05 14:20:20,4566.8918
2023-04-05 14:20:22,4566.898
2023-04-05 14:20:24,4566.9043
2023-04-05 14:20:42,4566.9106
2023-04-05 14:20:51,4566.9168
2023-04-05 14:20:52,4566.9231
2023-04-05 14:20:57,4566.9293
2023-04-05 14:21:00,4566.9863
2023-04-05 14:21:03,4566.994
2023-04-05 14:21:06,4567.0018
2023-04-05 14:21:09,4567.0096
2023-04-05 14:21:10,4567.0173
2023-04-05 14:21:11,4567.0251
2023-04-05 14:21:12,4567.0414
2023-04-05 14:21:13,4567.0495
2023-04-05 14:21:16,4567.0577
2023-04-05 14:21:17,4567.0659
2023-04-05 14:21:18,4567.073
2023-04-05 14:22:16,4567.0905
2023-04-05 14:23:10,4567.1165
2023-04-05 14:24:24,4567.1255
2023-04-05 14:24:25,4567.1349
2023-04-05 14:24:26,4567.1444
2023-04-05 14:24:27,4567.1641
2023-04-05 14:24:28,4567.174
2023-04-05 14:26:33,4567.1814
2023-04-05 14:26:34,4567.1888
2023-04-05 14:26:43,4567.1957
2023-04-05 14:29:15,4567.3895
2023-04-05 14:30:34,4567.4071
2023-04-05 14:30:37,4567.4157
2023-04-05 14:30:38,4567.4242
2023-04-05 14:30:39,4567.4328
2023-04-05 14:30:41,4567.4412
2023-04-05 14:31:35,4567.4497
2023-04-05 14:31:42,4567.4607
2023-04-05 14:31:48,4567.4716
2023-04-05 14:31:50,4567.4826
2023-04-05 14:32:13,4567.491
2023-04-05 14:32:29,4567.499
2023-04-05 14:32:39,4567.5096
2023-04-05 14:32:56,4567.5169
2023-04-05 14:33:35,4567.5365
2023-04-05 14:33:44,4567.5482
2023-04-05 14:34:09,4567.5544
2023-04-05 14:34:26,4567.5607
2023-04-05 14:34:31,4567.5686
2023-04-05 14:35:10,4567.6003
2023-04-05 14:35:12,4567.6084
2023-04-05 14:37:29,4567.6402
2023-04-05 14:37:30,4567.6641
2023-04-05 14:38:00,4567.6721
2023-04-05 14:38:39,4567.6909
2023-04-05 14:38:48,4567.7007
2023-04-05 14:38:51,4567.7425
2023-04-05 14:38:53,4567.7832
2023-04-05 14:39:05,4567.7934
2023-04-05 14:39:08,4567.8035
